wl	n
0.1879	1.28
0.1916	1.32
0.1953	1.34
0.1993	1.33
0.2033	1.33
0.2073	1.30
0.2119	1.30
0.2164	1.30
0.2214	1.30
0.2262	1.31
0.2313	1.30
0.2371	1.32
0.2426	1.32
0.2490	1.33
0.2551	1.33
0.2616	1.35
0.2689	1.38
0.2761	1.43
0.2844	1.47
0.2924	1.49
0.3009	1.53
0.3107	1.53
0.3204	1.54
0.3315	1.48
0.3425	1.48
0.3542	1.50
0.3679	1.48
0.3815	1.46
0.3974	1.47
0.4133	1.46
0.4305	1.45
0.4509	1.38
0.4714	1.31
0.4959	1.04
0.5209	0.62
0.5486	0.43
0.5821	0.29
0.6168	0.21
0.6595	0.14
0.7045	0.13
0.7560	0.14
0.8211	0.16
0.8920	0.17
0.9840	0.22
1.0880	0.27
1.2160	0.35
1.3930	0.43
1.6100	0.56
1.9370	0.92

wl	k
0.1879	1.188
0.1916	1.203
0.1953	1.226
0.1993	1.251
0.2033	1.277
0.2073	1.304
0.2119	1.350
0.2164	1.387
0.2214	1.427
0.2262	1.460
0.2313	1.497
0.2371	1.536
0.2426	1.577
0.2490	1.631
0.2551	1.688
0.2616	1.749
0.2689	1.803
0.2761	1.847
0.2844	1.869
0.2924	1.878
0.3009	1.889
0.3107	1.893
0.3204	1.898
0.3315	1.883
0.3425	1.871
0.3542	1.866
0.3679	1.895
0.3815	1.933
0.3974	1.952
0.4133	1.958
0.4305	1.948
0.4509	1.914
0.4714	1.849
0.4959	1.833
0.5209	2.081
0.5486	2.455
0.5821	2.863
0.6168	3.272
0.6595	3.697
0.7045	4.103
0.7560	4.542
0.8211	5.083
0.8920	5.663
0.9840	6.350
1.0880	7.150
1.2160	8.145
1.3930	9.519
1.6100	11.21
1.9370	13.78
